rep_sitc,rep,country,sitc,sitc_desc,BI2000,BIS2000,BI2005,BIS2005,BI2010,BIS2010,BI2015,BIS2015,BI2020,BIS2020,BI2021,BIS2021,BI2022,BIS2022,BI2023,BIS2023
620288,620,Portugal,288,"Non-ferrous base metal waste and scrap, nes",1.1513042,.070331402,2.0956056,.35392287,1.7657647,.27687269,1.7322745,.26800913,1.8311909,.29358351,2.0597575,.34635341,1.9164135,.31422621,,
620289,620,Portugal,289,"Ores and concentrates of precious metals, waste, scrap",.11194512,-.79864991,.053808693,-.89787769,.11115861,-.79992306,.28824642,-.55249798,.32736731,-.50674194,.52700257,-.30975547,.52197808,-.31407937,,
620291,620,Portugal,291,"Crude animal materials, nes",1.6634644,.24909829,1.3201557,.1379889,2.4865463,.42636642,2.2615376,.38679227,2.5593271,.43809605,2.4568448,.42143771,2.1769354,.37046251,,
620292,620,Portugal,292,"Crude vegetable materials, nes",.49086976,-.34149879,.95342398,-.023843274,1.3018165,.13112099,.96010768,-.020352105,1.7816139,.28099295,1.8738307,.30406478,2.1092577,.35675967,,
620322,620,Portugal,322,"Coal, lignite and peat",.000075526164,-.99984896,.00011669018,-.99976665,.0093426239,-.98148769,.0025653201,-.99488246,.0013972631,-.99720937,.00037459654,-.99925107,.0012964042,-.99741054,,
620323,620,Portugal,323,Briquettes; coke and semi-coke; lignite or peat; retort carbon,.87497389,-.066681519,.063440248,-.88068867,.0016227716,-.99675971,.00055306422,-.99889451,.021884147,-.957169,2.8147011e-07,-.99999946,0,-1,,
620333,620,Portugal,333,Crude petroleum and oils obtained from bituminous minerals,0,-1,0,-1,4.0393043e-06,-.99999189,9.4082670e-06,-.99998116,0,-1,0,-1,0,-1,,
620334,620,Portugal,334,"Petroleum products, refined",.89394498,-.055996887,1.001421,.00070998294,1.8545128,.29935503,2.6920414,.45829427,1.894124,.30894461,1.6707988,.25116035,1.8690263,.30289939,,
620335,620,Portugal,335,"Residual petroleum products, nes and related materials",2.3289108,.39920288,1.9132825,.31348917,2.070111,.34855777,1.9652436,.32551914,1.1314362,.061665569,.87331378,-.067626797,.77266079,-.12824744,,
620341,620,Portugal,341,"Gas, natural and manufactured",.13769157,-.75794572,.14487085,-.74692196,.24263343,-.60948509,.20647725,-.65771878,.21127962,-.65114641,.26854849,-.57660508,.36373022,-.46656573,,
620351,620,Portugal,351,Electric current,.74186945,-.14819168,.989775,-.0051387711,.73416036,-.15329587,1.0249932,.012342353,1.8716865,.30354515,1.5416944,.21312334,.74263084,-.14769001,,
620411,620,Portugal,411,Animal oils and fats,.62090528,-.23387839,.55301934,-.28781396,.91819769,-.042645399,.99768978,-.0011564441,.72895819,-.15676597,.9305644,-.035966475,1.0674812,.03263931,,
620423,620,Portugal,423,"Fixed vegetable oils, soft, crude refined or purified",2.1244254,.3598823,1.5836072,.22588852,3.4104049,.54652691,5.1713986,.67592436,5.4296312,.68894017,5.2091374,.67789406,5.2549458,.68025303,,
620424,620,Portugal,424,"Other fixed vegetable oils, fluid or solid, crude, refined",.08451017,-.84415054,.1525311,-.73531109,.073554121,-.86297083,.19094633,-.67933679,.24878626,-.60155511,.30132556,-.53689444,.32077986,-.51425689,,
620431,620,Portugal,431,"Animal and vegetable oils and fats, processed, and waxes",.29770041,-.54118776,.3754403,-.45407984,.49244255,-.34008509,1.0267006,.013174425,.99985123,-.000074392134,.82390314,-.096549459,.86634642,-.071612418,,
